Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,status
102.60625,50.00625,65.70625,-40.59375,-92.39375,34.70625,35.70625,49.10625,23.10625,-12.99375,-24.49375,66.00625,103.60625,37.60625,-160.69375,-236.99375,1
103.33125,47.73125,66.03125,-45.56875,-107.26875,35.33125,46.73125,49.53125,25.73125,-9.96875,-24.66875,65.23125,111.83125,35.13125,-159.06875,-240.06875,1
105.8875,50.3875,70.2875,-45.4125,-108.3125,36.9875,56.8875,51.6875,24.8875,-12.0125,-24.9125,66.3875,88.8875,37.4875,-159.7125,-239.4125,1
109.275,56.975,78.175,-43.325,-119.325,37.475,59.775,52.675,20.575,-14.925,-25.225,69.575,74.975,39.775,-162.625,-233.825,1
104.74375,50.14375,72.84375,-51.25625,-96.55625,34.14375,58.34375,48.34375,16.04375,-15.95625,-30.55625,67.14375,115.34375,30.04375,-168.55625,-234.25625,1
103.8,50.3,71.3,-52.7,-106.2,35.2,58.5,50.2,21.3,-8.8,-28.9,70.6,105.6,33.0,-166.3,-236.9,1
101.9875,50.2875,75.3875,-52.2125,-102.5125,35.5875,54.2875,48.7875,20.3875,-6.4125,-29.3125,70.9875,106.2875,32.8875,-166.4125,-240.0125,1
99.75625,49.05625,74.35625,-54.54375,-68.74375,26.65625,55.45625,45.65625,18.65625,-7.64375,-30.14375,69.65625,103.75625,26.15625,-168.34375,-239.74375,1
102.85,50.05,74.85,-53.25,-84.05,28.65,67.55,48.05,20.65,-17.25,-26.55,69.45,94.95,28.95,-163.65,-241.25,1
105.79375,51.39375,78.99375,-52.10625,-104.70625,28.79375,59.39375,49.39375,24.39375,-9.30625,-22.50625,73.59375,77.49375,31.89375,-160.20625,-232.30625,1
105.33125,47.83125,78.33125,-55.86875,-89.26875,24.33125,52.93125,47.13125,23.03125,-14.46875,-21.56875,72.63125,93.23125,27.43125,-160.26875,-230.76875,1
107.28125,40.58125,81.58125,-60.31875,-72.61875,19.58125,52.18125,42.58125,22.68125,-12.81875,-20.51875,69.18125,108.28125,23.98125,-160.11875,-241.51875,1
112.51875,41.41875,82.61875,-56.58125,-122.28125,24.31875,52.91875,47.61875,29.31875,-8.88125,-14.08125,71.81875,106.61875,27.11875,-152.98125,-241.48125,1
111.225,38.725,81.725,-59.575,-96.375,24.225,55.925,46.125,26.025,-12.275,-16.975,69.325,99.325,28.125,-154.875,-240.675,1
111.9375,39.0375,82.2375,-59.9625,-98.7625,26.6375,55.5375,46.7375,27.3375,-6.4625,-17.2625,69.3375,93.4375,25.8375,-155.4625,-240.1625,1
109.09375,38.69375,77.39375,-61.20625,-79.60625,28.89375,54.49375,45.39375,25.59375,-8.70625,-19.50625,67.09375,96.49375,25.59375,-156.90625,-242.80625,1
112.975,45.675,81.975,-55.425,-101.525,32.775,57.375,46.775,23.775,-14.825,-17.425,68.575,88.775,28.175,-154.625,-243.025,1
108.96875,40.96875,76.76875,-60.13125,-64.23125,23.16875,57.66875,42.46875,20.76875,-15.83125,-20.13125,63.16875,111.36875,19.46875,-156.33125,-248.13125,1
107.775,36.675,73.575,-62.525,-62.325,25.575,59.575,42.375,24.275,-11.725,-19.025,62.775,97.275,28.675,-155.325,-247.625,1
110.34375,37.04375,71.64375,-63.65625,-92.65625,26.24375,58.14375,42.74375,28.04375,-6.95625,-14.45625,65.24375,101.24375,31.64375,-151.95625,-242.65625,1
112.9625,36.9625,68.6625,-65.2375,-110.5375,22.9625,57.0625,42.0625,31.7625,-6.2375,-10.0375,66.4625,113.7625,27.5625,-146.9375,-241.2375,1
112.44375,34.24375,66.24375,-68.35625,-88.35625,18.34375,56.64375,39.24375,34.74375,-4.05625,-8.95625,64.24375,110.64375,22.64375,-143.55625,-246.15625,1
114.01875,31.61875,69.41875,-68.68125,-76.98125,19.71875,45.21875,38.51875,35.91875,-5.78125,-7.88125,61.51875,109.51875,21.51875,-140.08125,-247.58125,1
115.14375,33.94375,71.74375,-64.05625,-82.95625,23.04375,49.64375,43.64375,34.94375,-9.15625,-6.55625,60.94375,93.14375,23.54375,-140.65625,-246.35625,1
113.8375,32.8375,68.9375,-64.3625,-90.2625,23.8375,49.6375,43.1375,37.3375,-9.1625,-6.4625,58.4375,111.0375,19.7375,-139.8625,-248.6625,1
115.0875,32.1875,67.8875,-65.5125,-97.0125,21.8875,52.6875,41.1875,38.8875,-6.2125,-5.8125,57.6875,113.3875,18.9875,-139.3125,-246.0125,1
